batch_size,epochs,hidden_units,train_loss,val_loss,train_mae,val_mae
256,60,64,1623.089,1616.627,23.693,23.897
256,70,64,1349.035,1349.282,21.563,21.799
256,80,64,1131.231,1136.182,19.722,19.992
256,90,64,960.457,976.684,18.166,18.520
256,100,64,828.386,850.821,16.873,17.262
256,110,64,723.934,752.531,15.760,16.201
256,120,64,641.178,677.726,14.798,15.326
256,130,64,577.589,614.900,13.997,14.529
256,140,64,527.886,573.317,13.318,13.940
256,150,64,489.096,538.637,12.745,13.408
256,10,128,3660.116,3573.774,35.777,35.533
256,20,128,2419.456,2372.667,29.074,29.044
256,30,128,1644.372,1620.432,23.689,23.715
256,40,128,1160.136,1166.963,19.773,20.161
256,50,128,865.838,889.881,17.059,17.583
256,60,128,677.540,727.024,15.057,15.882
256,70,128,560.506,618.124,13.643,14.496
256,80,128,483.533,555.546,12.573,13.584
256,90,128,432.675,516.043,11.789,12.907
256,100,128,397.691,491.495,11.199,12.479
256,110,128,374.311,473.153,10.764,12.113
256,120,128,351.631,458.603,10.326,11.803
256,130,128,337.260,454.390,10.033,11.656
256,140,128,324.994,451.703,9.759,11.521
256,150,128,311.405,455.612,9.473,11.454
256,10,256,2451.322,2350.740,29.317,29.102
256,20,256,1188.128,1175.127,20.129,20.389
256,30,256,705.601,725.779,15.443,15.942
256,40,256,512.905,558.262,13.043,13.789
256,50,256,423.677,494.964,11.658,12.777
256,60,256,375.722,461.517,10.794,12.024
256,70,256,342.152,450.439,10.143,11.656
256,80,256,321.240,453.367,9.693,11.543
256,90,256,304.384,447.092,9.317,11.344
256,100,256,287.947,449.073,8.958,11.226
256,110,256,276.259,446.890,8.700,11.127
256,120,256,267.632,448.963,8.488,11.077
256,130,256,254.591,454.569,8.205,11.129
256,140,256,247.997,453.481,8.060,11.118
256,150,256,245.453,458.530,8.003,11.154
256,10,512,1218.935,1169.990,20.480,20.378
256,20,512,538.863,576.683,13.476,14.030
256,30,512,406.381,474.268,11.348,12.420
256,40,512,359.173,441.649,10.398,11.639
256,50,512,328.601,437.770,9.742,11.344
256,60,512,305.730,433.535,9.235,11.159
256,70,512,285.882,441.627,8.820,11.060
256,80,512,274.108,442.277,8.543,10.982
256,90,512,255.065,444.442,8.152,10.984
256,100,512,244.062,448.593,7.940,10.958
256,110,512,234.390,450.354,7.732,10.944
256,120,512,227.647,455.583,7.620,11.044
256,130,512,217.873,458.520,7.377,11.029
256,140,512,213.313,454.218,7.303,10.902
256,150,512,209.560,454.601,7.216,10.895
